Team,Wins
Cubs,9
Cubs,9
Cubs,10
Cubs,10
Cubs,11
Cubs,11
Cubs,9
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,12
Cubs,8
Cubs,10
Cubs,10
Cubs,10
Cubs,9
Cubs,7
Cubs,9
Cubs,9
Cubs,11
Cubs,11
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,12
Cubs,9
Cubs,11
Cubs,11
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,11
Cubs,6
Cubs,9
Cubs,8
Cubs,10
Cubs,8
Cubs,9
Cubs,10
Cubs,12
Cubs,12
Cubs,9
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,12
Cubs,9
Cubs,10
Cubs,12
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,9
Cubs,9
Cubs,10
Cubs,12
Cubs,11
Cubs,8
Cubs,11
Cubs,9
Cubs,11
Cubs,10
Cubs,11
Cubs,11
Cubs,11
Cubs,9
Cubs,11
Cubs,10
Cubs,11
Cubs,12
Cubs,12
Cubs,12
Cubs,12
Cubs,11
Cubs,7
Cubs,10
Cubs,11
Cubs,9
Cubs,10
Cubs,8
Cubs,12
Cubs,11
Cubs,10
Cubs,9
Cubs,12
Cubs,11
Cubs,12
Cubs,9
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,10
Cubs,12
Cubs,11
Cubs,9
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,12
Cubs,10
Cubs,12
Cubs,11
Cubs,8
Cubs,10
Cubs,12
Cubs,11
Cubs,12
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,12
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,12
Cubs,11
Cubs,9
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,12
Cubs,11
Cubs,9
Cubs,12
Cubs,10
Cubs,12
Cubs,11
Cubs,12
Cubs,11
Cubs,9
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,11
Cubs,11
Cubs,12
Cubs,9
Cubs,12
Cubs,11
Cubs,11
Cubs,8
Cubs,9
Cubs,11
Cubs,12
Cubs,8
Cubs,12
Cubs,10
Cubs,9
Cubs,9
Cubs,10
Cubs,11
Cubs,12
Cubs,10
Cubs,11
Cubs,10
Cubs,9
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,8
Cubs,10
Cubs,9
Cubs,11
Cubs,10
Cubs,8
Cubs,12
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,11
Cubs,12
Cubs,9
Cubs,9
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,8
Cubs,12
Cubs,11
Cubs,10
Cubs,12
Cubs,11
Cubs,9
Cubs,11
Cubs,9
Cubs,9
Cubs,11
Cubs,9
Cubs,11
Cubs,12
Cubs,9
Cubs,11
Cubs,10
Cubs,9
Cubs,10
Cubs,11
Cubs,11
Cubs,9
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,9
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,11
Cubs,12
Cubs,10
Cubs,11
Cubs,10
Cubs,9
Cubs,12
Cubs,9
Cubs,12
Cubs,11
Cubs,10
Cubs,11
Cubs,11
Cubs,11
Cubs,10
Cubs,10
Cubs,10
Cubs,10
Cubs,12
Cubs,10
Cubs,9
Cubs,11
Cubs,11
Cubs,11
Cubs,8
Cubs,10
Cubs,12
Cubs,11
Cubs,12
Cubs,9
Cubs,12
Cubs,10
Cubs,12
Cubs,9
Cubs,11
Cubs,10
Cubs,10
Cubs,12
Cubs,11
Cubs,10
Cubs,12
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,10
Cubs,10
Cubs,11
Cubs,11
Cubs,9
Cubs,11
Cubs,11
Cubs,9
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,9
Cubs,9
Cubs,10
Cubs,8
Cubs,11
Cubs,10
Cubs,12
Cubs,11
Cubs,11
Cubs,10
Cubs,12
Cubs,12
Cubs,11
Cubs,11
Cubs,9
Cubs,8
Cubs,9
Cubs,11
Cubs,9
Cubs,10
Cubs,12
Cubs,12
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,8
Cubs,10
Cubs,10
Cubs,9
Cubs,9
Cubs,11
Cubs,11
Cubs,8
Cubs,12
Cubs,9
Cubs,11
Cubs,11
Cubs,12
Cubs,10
Cubs,12
Cubs,10
Cubs,10
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,11
Cubs,10
Cubs,10
Cubs,7
Cubs,11
Cubs,11
Cubs,9
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,9
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,10
Cubs,8
Cubs,10
Cubs,10
Cubs,8
Cubs,11
Cubs,10
Cubs,11
Cubs,9
Cubs,11
Cubs,12
Cubs,11
Cubs,11
Cubs,11
Cubs,9
Cubs,12
Cubs,10
Cubs,11
Cubs,10
Cubs,9
Cubs,12
Cubs,12
Cubs,10
Cubs,11
Cubs,10
Cubs,12
Cubs,10
Cubs,10
Cubs,11
Cubs,12
Cubs,10
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,9
Cubs,10
Cubs,12
Cubs,7
Cubs,11
Cubs,12
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,10
Cubs,12
Cubs,10
Cubs,11
Cubs,8
Cubs,9
Cubs,10
Cubs,9
Cubs,10
Cubs,10
Cubs,10
Cubs,12
Cubs,11
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,12
Cubs,12
Cubs,9
Cubs,11
Cubs,10
Cubs,10
Cubs,11
Cubs,9
Cubs,9
Cubs,12
Cubs,9
Cubs,10
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,12
Cubs,10
Cubs,10
Cubs,12
Cubs,10
Cubs,11
Cubs,12
Cubs,9
Cubs,11
Cubs,11
Cubs,11
Cubs,10
Cubs,10
Cubs,9
Cubs,12
Cubs,10
Cubs,11
Cubs,8
Cubs,10
Cubs,11
Cubs,12
Cubs,10
Cubs,11
Cubs,11
Cubs,10
Cubs,11
Cubs,12
Cubs,12
Cubs,11
Cubs,9
Cubs,10
Cubs,11
Cubs,10
Cubs,7
Cubs,12
Cubs,8
Cubs,11
Cubs,11
Cubs,11
Cubs,12
Cubs,11
Cubs,10
Cubs,10
Cubs,12
Cubs,11
Cubs,11
Cubs,9
Cubs,11
Cubs,10
Cubs,12
Cubs,11
Cubs,12
Cubs,12
Cubs,12
Cubs,10
Cubs,11
Cubs,8
Cubs,9
Cubs,12
Cubs,12
Cubs,10
Cubs,10
Cubs,9
Cubs,10
Cubs,8
Cubs,11
Cubs,10
Cubs,11
Cubs,8
Cubs,11
Cubs,8
Cubs,10
Cubs,12
Cubs,10
Cubs,11
Cubs,10
White Sox,1
White Sox,4
White Sox,2
White Sox,0
White Sox,1
White Sox,1
White Sox,0
White Sox,1
White Sox,3
White Sox,1
White Sox,5
White Sox,0
White Sox,3
White Sox,3
White Sox,1
White Sox,2
White Sox,0
White Sox,1
White Sox,5
White Sox,1
White Sox,2
White Sox,0
White Sox,1
White Sox,2
White Sox,4
White Sox,2
White Sox,3
White Sox,0
White Sox,1
White Sox,1
White Sox,1
White Sox,3
White Sox,2
White Sox,3
White Sox,0
White Sox,2
White Sox,2
White Sox,3
White Sox,1
White Sox,4
White Sox,1
White Sox,1
White Sox,1
White Sox,1
White Sox,0
White Sox,2
White Sox,3
White Sox,0
White Sox,0
White Sox,0
White Sox,0
White Sox,1
White Sox,0
White Sox,3
White Sox,1
White Sox,0
White Sox,2
White Sox,4
White Sox,2
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,5
White Sox,1
White Sox,1
White Sox,0
White Sox,3
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,3
White Sox,1
White Sox,1
White Sox,3
White Sox,3
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,1
White Sox,1
White Sox,3
White Sox,0
White Sox,0
White Sox,1
White Sox,1
White Sox,3
White Sox,0
White Sox,1
White Sox,1
White Sox,1
White Sox,1
White Sox,1
White Sox,4
White Sox,2
White Sox,3
White Sox,1
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,2
White Sox,0
White Sox,3
White Sox,4
White Sox,0
White Sox,0
White Sox,2
White Sox,1
White Sox,2
White Sox,4
White Sox,3
White Sox,2
White Sox,1
White Sox,3
White Sox,0
White Sox,0
White Sox,0
White Sox,4
White Sox,4
White Sox,2
White Sox,4
White Sox,1
White Sox,1
White Sox,0
White Sox,0
White Sox,1
White Sox,2
White Sox,2
White Sox,3
White Sox,0
White Sox,0
White Sox,0
White Sox,1
White Sox,0
White Sox,1
White Sox,2
White Sox,2
White Sox,3
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,1
White Sox,2
White Sox,3
White Sox,0
White Sox,0
White Sox,2
White Sox,0
White Sox,1
White Sox,0
White Sox,0
White Sox,3
White Sox,1
White Sox,1
White Sox,3
White Sox,0
White Sox,1
White Sox,1
White Sox,1
White Sox,3
White Sox,0
White Sox,2
White Sox,2
White Sox,1
White Sox,1
White Sox,4
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,0
White Sox,0
White Sox,2
White Sox,0
White Sox,1
White Sox,0
White Sox,2
White Sox,3
White Sox,2
White Sox,1
White Sox,3
White Sox,1
White Sox,2
White Sox,1
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,1
White Sox,0
White Sox,0
White Sox,2
White Sox,3
White Sox,2
White Sox,3
White Sox,2
White Sox,1
White Sox,0
White Sox,4
White Sox,2
White Sox,3
White Sox,2
White Sox,2
White Sox,0
White Sox,1
White Sox,2
White Sox,1
White Sox,2
White Sox,3
White Sox,1
White Sox,2
White Sox,2
White Sox,3
White Sox,1
White Sox,0
White Sox,1
White Sox,1
White Sox,1
White Sox,0
White Sox,0
White Sox,1
White Sox,2
White Sox,2
White Sox,3
White Sox,2
White Sox,2
White Sox,3
White Sox,3
White Sox,0
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,0
White Sox,3
White Sox,1
White Sox,3
White Sox,1
White Sox,0
White Sox,0
White Sox,1
White Sox,3
White Sox,1
White Sox,2
White Sox,0
White Sox,2
White Sox,3
White Sox,1
White Sox,5
White Sox,2
White Sox,4
White Sox,1
White Sox,3
White Sox,3
White Sox,1
White Sox,1
White Sox,2
White Sox,4
White Sox,0
White Sox,1
White Sox,1
White Sox,1
White Sox,2
White Sox,0
White Sox,3
White Sox,1
White Sox,2
White Sox,1
White Sox,0
White Sox,0
White Sox,1
White Sox,3
White Sox,1
White Sox,1
White Sox,0
White Sox,0
White Sox,1
White Sox,2
White Sox,2
White Sox,1
White Sox,0
White Sox,1
White Sox,1
White Sox,0
White Sox,3
White Sox,1
White Sox,1
White Sox,0
White Sox,0
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,0
White Sox,4
White Sox,2
White Sox,0
White Sox,2
White Sox,3
White Sox,2
White Sox,3
White Sox,1
White Sox,1
White Sox,4
White Sox,4
White Sox,1
White Sox,3
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,2
White Sox,0
White Sox,1
White Sox,2
White Sox,3
White Sox,2
White Sox,2
White Sox,2
White Sox,1
White Sox,3
White Sox,3
White Sox,2
White Sox,0
White Sox,0
White Sox,1
White Sox,0
White Sox,0
White Sox,3
White Sox,1
White Sox,0
White Sox,1
White Sox,3
White Sox,2
White Sox,0
White Sox,1
White Sox,0
White Sox,3
White Sox,3
White Sox,1
White Sox,0
White Sox,5
White Sox,1
White Sox,0
White Sox,0
White Sox,0
White Sox,0
White Sox,1
White Sox,0
White Sox,1
White Sox,0
White Sox,3
White Sox,2
White Sox,1
White Sox,0
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,3
White Sox,1
White Sox,1
White Sox,1
White Sox,0
White Sox,5
White Sox,4
White Sox,3
White Sox,6
White Sox,1
White Sox,3
White Sox,2
White Sox,1
White Sox,1
White Sox,3
White Sox,0
White Sox,1
White Sox,0
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,0
White Sox,2
White Sox,2
White Sox,0
White Sox,2
White Sox,1
White Sox,0
White Sox,0
White Sox,0
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,0
White Sox,0
White Sox,5
White Sox,3
White Sox,2
White Sox,2
White Sox,1
White Sox,3
White Sox,3
White Sox,0
White Sox,2
White Sox,1
White Sox,2
White Sox,1
White Sox,2
White Sox,1
White Sox,3
White Sox,1
White Sox,4
White Sox,2
White Sox,4
White Sox,0
White Sox,0
White Sox,1
White Sox,0
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,2
White Sox,4
White Sox,0
White Sox,2
White Sox,3
White Sox,0
White Sox,0
White Sox,3
White Sox,0
White Sox,3
White Sox,3
White Sox,3
White Sox,2
White Sox,2
White Sox,1
White Sox,1
White Sox,3
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,2
White Sox,2
White Sox,1
White Sox,1
White Sox,2
White Sox,0
White Sox,4
White Sox,2
White Sox,2
White Sox,2
White Sox,3
White Sox,5
White Sox,3
White Sox,3
White Sox,1
White Sox,1
White Sox,2
White Sox,2
White Sox,2
White Sox,1
White Sox,2
White Sox,2
White Sox,3
White Sox,0
White Sox,3
White Sox,1
White Sox,1
White Sox,2
White Sox,2
White Sox,1
White Sox,2
White Sox,0
White Sox,1
White Sox,6
White Sox,3
White Sox,4
White Sox,2
White Sox,4
White Sox,3
White Sox,2
White Sox,0
White Sox,0
White Sox,3
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,2
White Sox,0
White Sox,3
White Sox,2
White Sox,0
White Sox,2
White Sox,1
White Sox,2
White Sox,0
White Sox,3
White Sox,3
White Sox,2
White Sox,0
White Sox,1
White Sox,4
White Sox,1
White Sox,3
White Sox,1
White Sox,2
White Sox,1
White Sox,1
White Sox,1
White Sox,3
White Sox,1
White Sox,2
White Sox,1
White Sox,0
White Sox,0
White Sox,0
White Sox,0
White Sox,1
White Sox,5
White Sox,2
White Sox,1
White Sox,3
White Sox,2
White Sox,4
White Sox,0
White Sox,1
White Sox,2
White Sox,3
White Sox,0
White Sox,1
White Sox,0
White Sox,3
White Sox,2
White Sox,1
White Sox,2
White Sox,0
White Sox,2
White Sox,0
White Sox,1
White Sox,3
White Sox,2
White Sox,1
White Sox,2
White Sox,0
White Sox,0
White Sox,2
White Sox,0
White Sox,1
White Sox,4
White Sox,2
White Sox,0
White Sox,1
White Sox,0
White Sox,1
White Sox,0
White Sox,0
White Sox,1
White Sox,0
White Sox,2
